Country Name,Country Code,Series,Series Code,mrv
Andorra,AND,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,1402
Andorra,AND,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,1614
Andorra,AND,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2105
Andorra,AND,"Enrolment in primary education, male (number)",UIS.E.1.M,2217
Andorra,AND,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,786
Andorra,AND,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,765
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,..
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,..
Angola,AGO,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,574827
Angola,AGO,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,951127
Angola,AGO,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2634205
Angola,AGO,"Enrolment in primary education, male (number)",UIS.E.1.M,2986710
Angola,AGO,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,279055
Angola,AGO,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,229141
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,15745000
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,16081000
Antigua and Barbuda,ATG,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,2236
Antigua and Barbuda,ATG,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,2619
Antigua and Barbuda,ATG,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,4981
Antigua and Barbuda,ATG,"Enrolment in primary education, male (number)",UIS.E.1.M,5142
Antigua and Barbuda,ATG,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,1425
Antigua and Barbuda,ATG,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,1576
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,47000
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,50000
Argentina,ARG,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,1363806.89679
Argentina,ARG,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,1422508.92212
Argentina,ARG,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2331295
Argentina,ARG,"Enrolment in primary education, male (number)",UIS.E.1.M,2422548
Argentina,ARG,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,875717.07788
Argentina,ARG,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,950630.10321
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,21900000
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,23001000
Armenia,ARM,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,79019
Armenia,ARM,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,88894
Armenia,ARM,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,72405
Armenia,ARM,"Enrolment in primary education, male (number)",UIS.E.1.M,82004
Armenia,ARM,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,41186
Armenia,ARM,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,39873
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1391000
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1566000
Aruba,ABW,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,1769
Aruba,ABW,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,1767
Aruba,ABW,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,4728
Aruba,ABW,"Enrolment in primary education, male (number)",UIS.E.1.M,5088
Aruba,ABW,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,2455
Aruba,ABW,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,2386
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50000
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56000
Australia,AUS,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,618881
Australia,AUS,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,707150
Australia,AUS,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1093901
Australia,AUS,"Enrolment in primary education, male (number)",UIS.E.1.M,1153974
Australia,AUS,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,548725
Australia,AUS,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,505206
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,12601000
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,12702000
Austria,AUT,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,165707.16667
Austria,AUT,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,175543.83333
Austria,AUT,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,163950.33333
Austria,AUT,"Enrolment in primary education, male (number)",UIS.E.1.M,175071.5
Austria,AUT,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,183989.12857
Austria,AUT,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,162145.97738
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4365000
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4500000
Azerbaijan,AZE,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,303523
Azerbaijan,AZE,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,351108
Azerbaijan,AZE,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,303173
Azerbaijan,AZE,"Enrolment in primary education, male (number)",UIS.E.1.M,342219
Azerbaijan,AZE,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,165870
Azerbaijan,AZE,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,146953
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,5008000
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5024000
"Bahamas, The",BHS,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,6939
"Bahamas, The",BHS,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,6664
"Bahamas, The",BHS,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,14624
"Bahamas, The",BHS,"Enrolment in primary education, male (number)",UIS.E.1.M,14880
"Bahamas, The",BHS,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,6309
"Bahamas, The",BHS,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,6972
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,189000
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,200000
Bahrain,BHR,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,26095
Bahrain,BHR,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,26968
Bahrain,BHR,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,57026
Bahrain,BHR,"Enrolment in primary education, male (number)",UIS.E.1.M,58793
Bahrain,BHR,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,25074
Bahrain,BHR,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,23866
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,1055000
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,586000
Bangladesh,BGD,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,4583706
Bangladesh,BGD,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,3764695
Bangladesh,BGD,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,8799033
Bangladesh,BGD,"Enrolment in primary education, male (number)",UIS.E.1.M,8539067
Bangladesh,BGD,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,3662613
Bangladesh,BGD,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,3699960
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,82474000
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,80572000
Barbados,BRB,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,5428
Barbados,BRB,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,5595
Barbados,BRB,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,9588
Barbados,BRB,"Enrolment in primary education, male (number)",UIS.E.1.M,10307
Barbados,BRB,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,4005
Barbados,BRB,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,4093
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,139000
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,148000
Belarus,BLR,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,220032
Belarus,BLR,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,231041
Belarus,BLR,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,207528
Belarus,BLR,"Enrolment in primary education, male (number)",UIS.E.1.M,220224
Belarus,BLR,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,104717
Belarus,BLR,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,93567
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4407000
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,5060000
Belgium,BEL,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,213876
Belgium,BEL,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,214814
Belgium,BEL,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,401366
Belgium,BEL,"Enrolment in primary education, male (number)",UIS.E.1.M,419870
Belgium,BEL,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,354885
Belgium,BEL,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,395759
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5683000
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5799000
Belize,BLZ,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,14995
Belize,BLZ,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,15791
Belize,BLZ,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,24318
Belize,BLZ,"Enrolment in primary education, male (number)",UIS.E.1.M,26070
Belize,BLZ,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,4561
Belize,BLZ,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,5294
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,194000
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,196000
Benin,BEN,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,334297
Benin,BEN,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,404657
Benin,BEN,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1035161
Benin,BEN,"Enrolment in primary education, male (number)",UIS.E.1.M,1145735
Benin,BEN,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,167209
Benin,BEN,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,86836
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,5891000
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,5910000
Bermuda,BMU,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,929
Bermuda,BMU,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,944
Bermuda,BMU,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2017
Bermuda,BMU,"Enrolment in primary education, male (number)",UIS.E.1.M,2130
Bermuda,BMU,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,997
Bermuda,BMU,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,1170
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,..
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,..
Bhutan,BTN,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,27288
Bhutan,BTN,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,24824
Bhutan,BTN,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,46716
Bhutan,BTN,"Enrolment in primary education, male (number)",UIS.E.1.M,47449
Bhutan,BTN,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,10571
Bhutan,BTN,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,10516
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,405000
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,358000
Bolivia,BOL,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,211401
Bolivia,BOL,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,233767
Bolivia,BOL,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,671302
Bolivia,BOL,"Enrolment in primary education, male (number)",UIS.E.1.M,707797
Bolivia,BOL,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,402137
Bolivia,BOL,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,386433
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,5780000
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,5733000
Bosnia and Herzegovina,BIH,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,59746
Bosnia and Herzegovina,BIH,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,62968
Bosnia and Herzegovina,BIH,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,76435
Bosnia and Herzegovina,BIH,"Enrolment in primary education, male (number)",UIS.E.1.M,80869
Bosnia and Herzegovina,BIH,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,58821
Bosnia and Herzegovina,BIH,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,58654
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1617000
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1684000
Botswana,BWA,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,62432
Botswana,BWA,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,61873
Botswana,BWA,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,168387
Botswana,BWA,"Enrolment in primary education, male (number)",UIS.E.1.M,176231
Botswana,BWA,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,22936
Botswana,BWA,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,26195
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1114000
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1190000
Brazil,BRA,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,6470366
Brazil,BRA,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,6869846
Brazil,BRA,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,7665623
Brazil,BRA,"Enrolment in primary education, male (number)",UIS.E.1.M,8286290
Brazil,BRA,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,4611488
Brazil,BRA,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,4912208
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,103733000
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,107316000
British Virgin Islands,VGB,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,474
British Virgin Islands,VGB,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,528
British Virgin Islands,VGB,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1209
British Virgin Islands,VGB,"Enrolment in primary education, male (number)",UIS.E.1.M,1320
British Virgin Islands,VGB,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,323
British Virgin Islands,VGB,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,406
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,..
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,..
Brunei Darussalam,BRN,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,6610
Brunei Darussalam,BRN,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,7054
Brunei Darussalam,BRN,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,19055
Brunei Darussalam,BRN,"Enrolment in primary education, male (number)",UIS.E.1.M,20181
Brunei Darussalam,BRN,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,14553
Brunei Darussalam,BRN,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,14462
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,225000
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,208000
Bulgaria,BGR,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,96003
Bulgaria,BGR,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,104535
Bulgaria,BGR,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,127437
Bulgaria,BGR,"Enrolment in primary education, male (number)",UIS.E.1.M,135298
Bulgaria,BGR,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,151830
Bulgaria,BGR,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,137297
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3385000
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3584000
Burkina Faso,BFA,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,540984
Burkina Faso,BFA,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,505441
Burkina Faso,BFA,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1584455
Burkina Faso,BFA,"Enrolment in primary education, male (number)",UIS.E.1.M,1649329
Burkina Faso,BFA,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,167589
Burkina Faso,BFA,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,128129
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,10148000
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,10174000
Burundi,BDI,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,206731
Burundi,BDI,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,164686
Burundi,BDI,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1109607
Burundi,BDI,"Enrolment in primary education, male (number)",UIS.E.1.M,1102925
Burundi,BDI,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,137693
Burundi,BDI,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,141159
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,5719000
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,5812000
Cabo Verde,CPV,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,16074
Cabo Verde,CPV,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,16049
Cabo Verde,CPV,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,30655
Cabo Verde,CPV,"Enrolment in primary education, male (number)",UIS.E.1.M,33472
Cabo Verde,CPV,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,9442
Cabo Verde,CPV,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,11790
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,276000
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,274000
Cambodia,KHM,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,333036
Cambodia,KHM,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,305676
Cambodia,KHM,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1039936
Cambodia,KHM,"Enrolment in primary education, male (number)",UIS.E.1.M,1123207
Cambodia,KHM,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,167545
Cambodia,KHM,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,118205
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8047000
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8439000
Cameroon,CMR,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,715287
Cameroon,CMR,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,825570
Cameroon,CMR,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2067519
Cameroon,CMR,"Enrolment in primary education, male (number)",UIS.E.1.M,2332378
Cameroon,CMR,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,368379
Cameroon,CMR,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,297642
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,12940000
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,12936000
Canada,CAN,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,610265
Canada,CAN,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,635320
Canada,CAN,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1173157
Canada,CAN,"Enrolment in primary education, male (number)",UIS.E.1.M,1233849
Canada,CAN,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,719840
Canada,CAN,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,688774
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,18545000
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,18829000
Cayman Islands,CYM,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,956
Cayman Islands,CYM,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,942
Cayman Islands,CYM,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2080
Cayman Islands,CYM,"Enrolment in primary education, male (number)",UIS.E.1.M,2219
Cayman Islands,CYM,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,807
Cayman Islands,CYM,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,771
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,..
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,..
Central African Republic,CAF,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,44069
Central African Republic,CAF,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,63503
Central African Republic,CAF,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,354910
Central African Republic,CAF,"Enrolment in primary education, male (number)",UIS.E.1.M,458857
Central African Republic,CAF,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,19024
Central African Republic,CAF,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,11248
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2352000
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2393000
Chad,TCD,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,133086
Chad,TCD,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,228430
Chad,TCD,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,1077141
Chad,TCD,"Enrolment in primary education, male (number)",UIS.E.1.M,1391643
Chad,TCD,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,122671
Chad,TCD,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,53201
Chad,TCD,"Population, male",SP.POP.TOTL.MA.IN,7961000
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,7986000
Channel Islands,CHI,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,..
Channel Islands,CHI,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,..
Channel Islands,CHI,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,..
Channel Islands,CHI,"Enrolment in primary education, male (number)",UIS.E.1.M,..
Channel Islands,CHI,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,..
Channel Islands,CHI,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,..
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,85000
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,87000
Chile,CHL,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,242799
Chile,CHL,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,258558
Chile,CHL,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,745274
Chile,CHL,"Enrolment in primary education, male (number)",UIS.E.1.M,794811
Chile,CHL,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,515352
Chile,CHL,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,505436
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,9342000
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9610000
China,CHN,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,21718203
China,CHN,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,25026302
China,CHN,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,48550691
China,CHN,"Enrolment in primary education, male (number)",UIS.E.1.M,55774553
China,CHN,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,20698641
China,CHN,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,18658551
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,716903000
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,680392000
Colombia,COL,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,1709312
Colombia,COL,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,1752479
Colombia,COL,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2071499
Colombia,COL,"Enrolment in primary education, male (number)",UIS.E.1.M,2232334
Colombia,COL,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,647412
Colombia,COL,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,711826
